t,Q
30/10/2023 10:53:00,113.175
30/10/2023 10:54:00,112.949
30/10/2023 10:55:00,113.916
30/10/2023 10:56:00,113.237
30/10/2023 10:57:00,113.646
30/10/2023 10:58:00,113.28
30/10/2023 10:59:00,113.53
30/10/2023 11:00:00,113.295
30/10/2023 11:01:00,112.838
30/10/2023 11:02:00,112.594
30/10/2023 11:03:00,113.003
30/10/2023 11:04:00,112.801
30/10/2023 11:05:00,113.387
30/10/2023 11:06:00,113.119
30/10/2023 11:07:00,112.536
30/10/2023 11:08:00,113.86
30/10/2023 11:09:00,113.787
30/10/2023 11:10:00,113.701
30/10/2023 11:11:00,112.683
30/10/2023 11:12:00,112.385
30/10/2023 11:13:00,112.966
30/10/2023 11:14:00,112.174
30/10/2023 11:15:00,112.411
30/10/2023 11:16:00,113.188
30/10/2023 11:17:00,113.56
30/10/2023 11:18:00,113.829
30/10/2023 11:19:00,112.852
30/10/2023 11:20:00,113.586
30/10/2023 11:21:00,113.644
30/10/2023 11:22:00,113.422
30/10/2023 11:23:00,113.239
30/10/2023 11:24:00,112.876
30/10/2023 11:25:00,111.865
30/10/2023 11:26:00,112.78
30/10/2023 11:27:00,112.826
30/10/2023 11:28:00,113.316
30/10/2023 11:29:00,113.731
30/10/2023 11:30:00,113.544
30/10/2023 11:31:00,114.245
30/10/2023 11:32:00,113.263
30/10/2023 11:33:00,112.827
30/10/2023 11:34:00,113.054
30/10/2023 11:35:00,113.246
30/10/2023 11:36:00,112.658
30/10/2023 11:37:00,112.834
30/10/2023 11:38:00,112.474
30/10/2023 11:39:00,113.145
30/10/2023 11:40:00,112.603
30/10/2023 11:41:00,113.423
30/10/2023 11:42:00,113.303
30/10/2023 11:43:00,113.576
30/10/2023 11:44:00,112.819
30/10/2023 11:45:00,113.023
30/10/2023 11:46:00,113.073
30/10/2023 11:47:00,113.519
30/10/2023 11:48:00,112.648
30/10/2023 11:49:00,112.716
30/10/2023 11:50:00,113.422
30/10/2023 11:51:00,113.992
30/10/2023 11:52:00,113.06
30/10/2023 11:53:00,113.193
30/10/2023 11:54:00,112.733
30/10/2023 11:55:00,113.231
30/10/2023 11:56:00,113.59
30/10/2023 11:57:00,113.329
30/10/2023 11:58:00,113.496
30/10/2023 11:59:00,113.114
30/10/2023 12:00:00,113.229
